Tempo [s],Temperatura [K],Cl,Na,NaCl
34.24999999999934,0.4395854554018432,196.0,134.0,592.0
34.266666666666005,0.4399138128365559,195.0,133.0,593.0
34.28333333333267,0.44038194653293633,194.0,132.0,594.0
34.299999999999336,0.44086386423498336,193.0,131.0,595.0
34.316666666666,0.44025077155934517,193.0,131.0,595.0
34.33333333333267,0.43951932495081725,193.0,131.0,595.0
34.34999999999933,0.4402581553383931,193.0,131.0,595.0
34.366666666666,0.43985387288047406,193.0,131.0,595.0
34.383333333332665,0.4390687525787966,193.0,131.0,595.0
34.39999999999933,0.43912376258088587,193.0,131.0,595.0
34.416666666665996,0.4391511608628741,193.0,131.0,595.0
34.43333333333266,0.43889526962057784,193.0,131.0,595.0
34.44999999999933,0.43925336573633494,193.0,131.0,595.0
34.46666666666599,0.4391697580026529,193.0,131.0,595.0
34.48333333333266,0.4399058940823179,193.0,131.0,595.0
34.499999999999325,0.44018671253974245,193.0,131.0,595.0
34.51666666666599,0.44052385391776855,192.0,130.0,596.0
34.533333333332656,0.4402838807925455,192.0,130.0,596.0
34.54999999999932,0.4394125403921709,192.0,130.0,596.0
34.56666666666599,0.4394780873505326,192.0,130.0,596.0
34.583333333332654,0.43984824775338877,192.0,130.0,596.0
34.59999999999932,0.4401076130842888,192.0,130.0,596.0
34.616666666665985,0.44069401741657505,191.0,129.0,597.0
34.63333333333265,0.4407451369614037,191.0,129.0,597.0
34.64999999999932,0.4415300964546268,190.0,128.0,598.0
34.66666666666598,0.44106140070465477,190.0,128.0,598.0
34.68333333333265,0.4406649184133739,190.0,128.0,598.0
34.699999999999314,0.44035865652496703,190.0,128.0,598.0
34.71666666666598,0.44059974341481867,190.0,128.0,598.0
34.733333333332645,0.44090142487001177,190.0,128.0,598.0
34.74999999999931,0.44107540296386527,190.0,128.0,598.0
34.76666666666598,0.44086597387797016,190.0,128.0,598.0
34.78333333333264,0.44051634631696435,190.0,128.0,598.0
34.79999999999931,0.4402855137094152,190.0,128.0,598.0
34.816666666665974,0.4405864054914649,190.0,128.0,598.0
34.83333333333264,0.4408753750983946,190.0,128.0,598.0
34.849999999999305,0.4410763548450665,190.0,128.0,598.0
34.86666666666597,0.44157049114148256,190.0,128.0,598.0
34.88333333333264,0.44112958411947684,190.0,128.0,598.0
34.8999999999993,0.44168802972894733,190.0,128.0,598.0
34.91666666666597,0.4416375419144592,190.0,128.0,598.0
34.933333333332634,0.4422629107904565,189.0,127.0,599.0
34.9499999999993,0.4422876911548105,189.0,127.0,599.0
34.966666666665965,0.4418684925303088,189.0,127.0,599.0
34.98333333333263,0.44172600012832713,189.0,127.0,599.0
34.9999999999993,0.4410025971888362,189.0,127.0,599.0
35.01666666666596,0.44141527100321504,189.0,127.0,599.0
35.03333333333263,0.4415001005964393,189.0,127.0,599.0
35.049999999999294,0.4414516091240477,189.0,127.0,599.0
35.06666666666596,0.44108916126148495,189.0,127.0,599.0
35.083333333332625,0.44084297906757003,189.0,127.0,599.0
35.09999999999929,0.4410249605074031,189.0,127.0,599.0
35.11666666666596,0.4411353104290766,189.0,127.0,599.0
35.13333333333262,0.4408633211939667,189.0,127.0,599.0
35.14999999999929,0.4408419694575098,189.0,127.0,599.0
35.166666666665954,0.44105935574955557,189.0,127.0,599.0
35.18333333333262,0.4405569239149846,189.0,127.0,599.0
35.199999999999285,0.4406251999372579,189.0,127.0,599.0
35.21666666666595,0.4406737705478082,189.0,127.0,599.0
35.23333333333262,0.44102970632264343,188.0,126.0,600.0
35.24999999999928,0.44128643027156844,188.0,126.0,600.0
35.26666666666595,0.44121126964281454,188.0,126.0,600.0
35.283333333332614,0.4409492699408861,188.0,126.0,600.0
35.29999999999928,0.4405313852981651,188.0,126.0,600.0
35.316666666665945,0.4405967536312802,188.0,126.0,600.0
35.33333333333261,0.4404061727796702,188.0,126.0,600.0
35.34999999999928,0.4411053743629651,188.0,126.0,600.0
35.36666666666594,0.44156832643496013,188.0,126.0,600.0
35.38333333333261,0.4414587797166484,188.0,126.0,600.0
35.399999999999274,0.441289100622846,188.0,126.0,600.0
35.41666666666594,0.4416267300509888,188.0,126.0,600.0
35.433333333332605,0.44152998911874725,188.0,126.0,600.0
35.44999999999927,0.442002033434801,188.0,126.0,600.0
35.46666666666594,0.4416844285979007,188.0,126.0,600.0
35.4833333333326,0.44161149436840297,188.0,126.0,600.0
35.49999999999927,0.4414309529937044,188.0,126.0,600.0
35.516666666665934,0.44140017837206363,188.0,126.0,600.0
35.5333333333326,0.44187547784893166,188.0,126.0,600.0
35.549999999999265,0.4418000704203906,188.0,126.0,600.0
35.56666666666593,0.44133341467455367,188.0,126.0,600.0
35.5833333333326,0.4411719044438371,188.0,126.0,600.0
35.59999999999926,0.4413923761328305,188.0,126.0,600.0
35.61666666666593,0.4413316157112895,188.0,126.0,600.0
35.633333333332594,0.4417115322551362,188.0,126.0,600.0
35.64999999999926,0.4418900940018233,188.0,126.0,600.0
35.666666666665925,0.44197287724656764,188.0,126.0,600.0
35.68333333333259,0.4420790722230404,188.0,126.0,600.0
